UDI,Product Name,Type of Analysis,Instrument ID,Room Air temperature [K],Instrument temperature [K],Instrument Usage_hours,Runs_since_PM,Component_age_days,Days_since_last_PM,PM_overdue_flag,Room_temp_stability_issue,Power_fluctuation_flag,Minor_alarm_counts,Past_incidents_count,Date of Observation
716,Clopidogrel,Dissolution,UV Spec-10,297.4,308.6,1897,468,442,108,0,0,0,4,3,07-03-2026
717,Diclofenac,Assay,Disso-4,297.4,308.6,655,81,332,149,0,0,0,9,1,11-02-2026
718,Diclofenac,Dissolution,IR-3,297.4,308.7,683,265,14,112,0,0,0,6,1,25-12-2025
719,Ibuprofen,Dissolution,IR-3,297.5,308.8,851,35,101,8,0,0,0,2,5,21-02-2026
720,Diazepam,UV Spec,Disso-5,297.4,308.8,1139,347,803,64,0,0,0,1,3,19-01-2026
721,Atorvastatin,UV Spec,HPLC-4,297.4,308.9,1441,82,793,9,0,0,0,3,0,24-02-2026
722,Diazepam,Assay,Disso-3,297.5,308.9,195,159,11,96,1,0,0,1,5,26-01-2026
723,Atorvastatin,Assay,UV Spec-1,297.5,308.9,1390,240,726,119,0,0,0,6,4,05-03-2026
724,Diazepam,Assay,IR-2,297.4,308.9,1304,53,732,5,0,0,0,10,5,09-02-2026
725,Clopidogrel,UV Spec,HPLC-5,297.5,308.9,1424,343,273,130,0,0,0,0,4,04-01-2026
726,Ibuprofen,Relative Substance,Disso-7,297.4,308.8,1968,150,877,143,0,0,0,8,5,12-03-2026
727,Ibuprofen,Dissolution,HPLC-1,297.4,308.8,1660,275,618,101,0,0,0,2,2,14-02-2026
728,Diazepam,Relative Substance,Disso-6,297.3,308.6,918,147,523,161,0,0,0,7,4,27-12-2025
729,Diazepam,Relative Substance,HPLC-5,297.4,308.7,709,388,490,147,0,0,0,2,0,18-02-2026
730,Clopidogrel,UV Spec,UV Spec-7,297.3,308.6,785,253,50,99,0,0,0,7,1,20-02-2026
731,Diazepam,Relative Substance,IR-1,297.3,308.6,1468,438,62,122,0,1,0,8,3,30-12-2025
732,Ibuprofen,Assay,IR-1,297.3,308.6,1621,315,339,87,0,0,0,6,2,12-02-2026
733,Ibuprofen,Assay,IR-1,297.2,308.6,140,90,662,122,0,0,0,1,4,03-02-2026
734,Atorvastatin,Assay,IR-1,297.1,308.4,870,268,886,106,0,1,0,4,3,04-02-2026
735,Atorvastatin,Dissolution,HPLC-6,297,308.4,582,330,129,76,0,0,1,10,2,24-12-2025
736,Atorvastatin,Dissolution,Disso-6,296.9,308.4,874,463,383,156,0,0,0,10,1,06-03-2026
737,Atorvastatin,Assay,HPLC-5,296.9,308.3,1568,184,226,83,0,0,0,9,4,19-02-2026
738,Diazepam,UV Spec,HPLC-4,296.9,308.3,895,258,556,159,0,1,0,10,1,22-01-2026
739,Clopidogrel,Relative Substance,IR-3,296.8,308.3,1789,86,644,99,0,0,0,0,1,07-02-2026
740,Diclofenac,Assay,UV Spec-2,296.9,308.4,1799,328,194,22,0,0,0,2,4,17-03-2026
741,Clopidogrel,Dissolution,HPLC-3,296.9,308.4,1319,75,590,78,0,0,0,7,0,05-02-2026
742,Atorvastatin,UV Spec,UV Spec-1,296.9,308.3,1695,70,872,39,0,0,0,5,0,22-02-2026
743,Diclofenac,Assay,Disso-7,296.8,308.2,873,195,208,125,0,0,0,9,5,02-01-2026
744,Diazepam,UV Spec,IR-1,296.8,308.2,177,238,572,49,0,0,0,5,1,18-01-2026
745,Clopidogrel,Dissolution,UV Spec-9,296.7,308.1,1626,96,256,92,0,0,0,4,1,22-12-2025
746,Ibuprofen,UV Spec,HPLC-5,296.7,308,645,310,214,178,0,0,0,9,5,22-02-2026
747,Atorvastatin,UV Spec,Disso-1,296.8,308.1,997,435,28,78,1,0,0,0,2,18-03-2026
748,Ibuprofen,Assay,IR-3,296.8,308.1,492,21,487,8,0,0,1,9,0,14-03-2026
749,Diclofenac,Assay,IR-2,296.7,308.1,837,487,113,92,0,1,0,8,5,13-01-2026
750,Diclofenac,Dissolution,IR-2,296.6,308,1513,130,752,108,0,0,0,3,4,02-02-2026
751,Diazepam,Relative Substance,UV Spec-1,296.7,308,1982,214,136,54,1,0,0,6,0,16-03-2026
752,Ibuprofen,Relative Substance,IR-2,296.8,308.1,837,193,246,37,0,0,0,0,0,21-12-2025
753,Clopidogrel,UV Spec,HPLC-3,296.9,308.1,1040,479,609,132,1,0,0,3,1,27-02-2026
754,Diazepam,Dissolution,UV Spec-3,296.8,308,730,433,107,36,0,0,0,0,1,25-12-2025
755,Diclofenac,UV Spec,Disso-7,296.9,308.1,1911,314,628,7,0,0,0,3,1,09-03-2026
756,Ibuprofen,Dissolution,IR-3,296.8,308.1,724,249,566,136,0,0,0,7,4,10-01-2026
757,Diazepam,Dissolution,UV Spec-4,296.8,308,1488,304,137,116,0,0,0,6,5,20-02-2026
758,Diazepam,Relative Substance,Disso-6,296.9,308.1,1624,89,391,48,0,0,0,10,2,04-01-2026
759,Diazepam,Relative Substance,UV Spec-8,296.8,308,632,460,741,139,0,0,0,5,2,11-03-2026
760,Diazepam,Relative Substance,HPLC-5,296.7,307.8,1878,474,16,123,1,0,0,7,1,11-02-2026
761,Clopidogrel,Assay,Disso-1,296.7,307.8,287,29,464,67,0,0,0,8,3,11-03-2026
762,Diazepam,UV Spec,IR-2,296.7,307.8,488,22,173,93,0,0,0,2,0,14-01-2026
763,Clopidogrel,Relative Substance,UV Spec-8,296.7,307.8,1679,199,283,136,0,1,0,3,3,23-01-2026
764,Atorvastatin,Relative Substance,Disso-6,296.7,307.8,1556,200,500,4,0,0,0,5,0,22-02-2026
765,Diazepam,Relative Substance,UV Spec-10,296.8,307.9,1487,52,741,118,1,0,0,7,0,27-01-2026
766,Diclofenac,UV Spec,IR-3,296.9,308,72,181,507,173,1,0,0,10,5,20-02-2026
767,Diclofenac,UV Spec,Disso-7,296.8,308,1135,393,519,145,0,0,0,8,5,24-02-2026
768,Diclofenac,Assay,IR-2,296.9,308,152,455,655,39,0,0,0,8,2,18-02-2026
769,Diazepam,Assay,Disso-5,296.9,308,241,461,591,120,0,0,0,8,5,22-01-2026
770,Diclofenac,Dissolution,HPLC-4,296.9,308,231,11,683,7,1,0,0,9,3,02-02-2026
771,Diazepam,UV Spec,Disso-5,296.8,308,1502,345,11,130,0,1,0,1,5,16-01-2026
772,Clopidogrel,Assay,UV Spec-6,296.8,308,443,309,695,164,1,0,0,10,1,04-02-2026
773,Clopidogrel,Dissolution,Disso-3,296.8,308,916,221,639,89,0,0,0,1,2,20-01-2026
774,Ibuprofen,UV Spec,HPLC-3,296.8,308,1914,454,733,145,0,0,0,10,2,26-12-2025
775,Atorvastatin,Dissolution,HPLC-5,296.8,307.9,1586,447,405,131,0,0,0,1,2,26-12-2025
776,Ibuprofen,UV Spec,HPLC-6,296.7,307.8,144,104,313,160,0,0,0,9,3,21-03-2026
777,Diazepam,Assay,UV Spec-9,296.7,307.8,302,355,695,160,0,0,0,0,0,07-02-2026
778,Diclofenac,Relative Substance,HPLC-2,296.7,307.8,1731,370,721,89,0,0,0,4,3,31-01-2026
779,Diclofenac,Dissolution,Disso-7,296.7,308,1589,196,854,56,0,0,0,10,3,22-01-2026
780,Diclofenac,Assay,Disso-4,296.8,308,1362,191,144,171,0,0,0,3,4,24-12-2025
781,Ibuprofen,Assay,UV Spec-10,296.9,308,1949,271,180,14,1,1,0,9,1,23-01-2026
782,Ibuprofen,Assay,Disso-2,296.8,308,142,13,205,164,0,0,0,4,5,17-03-2026
783,Ibuprofen,Relative Substance,UV Spec-4,296.8,307.9,1427,412,501,39,0,0,0,8,3,15-03-2026
784,Atorvastatin,Assay,HPLC-7,296.7,307.9,924,318,532,84,1,0,1,2,5,14-01-2026
785,Ibuprofen,Relative Substance,IR-1,296.7,307.9,896,371,559,28,0,0,0,8,0,16-01-2026
786,Diclofenac,Relative Substance,HPLC-2,296.9,308,469,222,433,83,0,0,0,0,1,06-03-2026
787,Ibuprofen,Relative Substance,IR-1,296.9,308.1,913,121,652,49,0,0,0,9,3,24-01-2026
788,Diclofenac,Relative Substance,IR-2,296.9,308.1,535,330,473,50,0,0,0,5,1,03-02-2026
789,Atorvastatin,Relative Substance,IR-1,296.9,308.1,999,211,712,27,0,0,0,3,1,03-02-2026
790,Clopidogrel,Assay,HPLC-2,296.9,308,1882,372,794,115,0,0,0,2,0,16-01-2026
791,Atorvastatin,UV Spec,IR-3,296.8,307.9,1770,93,783,59,0,0,0,3,0,10-01-2026
792,Atorvastatin,Assay,Disso-3,296.8,307.9,820,5,649,66,0,0,0,2,4,17-03-2026
793,Ibuprofen,Assay,IR-1,296.8,307.8,638,456,117,85,0,0,0,4,1,12-01-2026
794,Diclofenac,Relative Substance,UV Spec-10,296.8,307.9,384,183,602,133,0,0,0,4,2,01-03-2026
795,Ibuprofen,Assay,UV Spec-11,296.9,307.9,1376,465,775,79,0,0,0,5,2,06-01-2026
796,Diazepam,UV Spec,HPLC-6,296.9,307.8,932,274,318,93,0,0,0,2,1,06-03-2026
797,Atorvastatin,Dissolution,HPLC-7,296.9,307.9,1110,171,844,128,1,0,0,0,4,18-01-2026
798,Ibuprofen,Assay,IR-3,296.8,307.7,677,91,427,23,0,0,0,4,4,13-03-2026
799,Clopidogrel,UV Spec,HPLC-4,296.9,307.8,1442,346,11,99,0,0,0,6,2,02-03-2026
800,Diclofenac,Assay,Disso-3,297,307.8,995,354,143,39,0,0,1,4,5,02-01-2026
801,Diclofenac,Relative Substance,UV Spec-10,297,307.9,236,344,790,11,0,0,0,1,0,27-12-2025
802,Clopidogrel,Assay,Disso-2,296.9,307.8,1854,439,768,95,1,0,0,10,5,04-02-2026
803,Diclofenac,Assay,UV Spec-9,296.9,307.8,1146,226,777,3,1,0,0,2,1,13-03-2026
804,Diclofenac,Relative Substance,HPLC-6,296.9,307.8,431,155,89,59,0,0,0,4,4,14-03-2026
805,Atorvastatin,Assay,Disso-6,296.9,307.8,1952,91,30,3,0,0,0,1,0,01-03-2026
806,Clopidogrel,Assay,Disso-6,297,307.9,365,9,457,66,0,0,0,9,1,28-02-2026
807,Atorvastatin,UV Spec,HPLC-2,297,307.9,1923,466,252,34,0,0,0,4,0,04-03-2026
808,Diazepam,Assay,IR-1,297,307.7,696,181,756,136,0,0,0,7,3,25-02-2026
809,Clopidogrel,UV Spec,UV Spec-8,296.9,307.7,533,117,632,69,0,0,0,8,3,28-01-2026
810,Diazepam,Dissolution,Disso-4,296.9,307.6,83,459,288,41,0,0,0,4,0,27-02-2026
811,Clopidogrel,Dissolution,IR-1,296.9,307.7,870,127,491,169,1,0,0,1,1,07-02-2026
812,Ibuprofen,Dissolution,IR-1,296.8,307.6,1339,476,415,63,0,1,0,8,5,02-03-2026
813,Diazepam,Dissolution,IR-3,296.8,307.6,412,346,692,90,1,0,0,8,3,06-02-2026
814,Diclofenac,Relative Substance,Disso-7,296.8,307.6,292,281,579,79,1,0,0,7,5,21-03-2026
815,Diazepam,Relative Substance,Disso-4,296.8,307.5,1168,425,522,82,0,0,0,5,3,15-01-2026
816,Diazepam,UV Spec,IR-3,296.8,307.5,1693,121,666,133,0,0,0,9,2,31-01-2026
817,Diazepam,Assay,IR-3,296.8,307.6,1900,47,849,163,0,0,0,2,2,17-03-2026
818,Atorvastatin,Relative Substance,UV Spec-5,296.8,307.6,1593,332,193,3,1,1,0,8,1,31-12-2025
819,Ibuprofen,Dissolution,UV Spec-7,296.8,307.6,1865,24,215,98,0,0,0,3,2,31-12-2025
820,Diclofenac,Dissolution,HPLC-4,296.8,307.6,1743,350,617,37,0,0,0,7,1,13-03-2026
821,Atorvastatin,Relative Substance,UV Spec-1,296.7,307.6,1623,417,834,9,0,0,0,6,0,06-03-2026
822,Diclofenac,Assay,IR-3,296.7,307.6,144,132,481,104,0,0,0,8,0,11-02-2026
823,Ibuprofen,UV Spec,IR-3,296.7,307.6,1677,112,385,99,1,0,0,3,3,06-03-2026
824,Diazepam,Assay,UV Spec-1,296.6,307.5,1711,288,468,138,0,0,0,4,3,08-03-2026
825,Atorvastatin,Assay,Disso-3,296.6,307.4,1876,89,567,117,1,0,0,2,1,21-02-2026
826,Clopidogrel,UV Spec,IR-1,296.6,307.3,391,9,836,58,0,0,0,2,0,04-02-2026
827,Clopidogrel,Dissolution,HPLC-3,296.5,307.2,1974,110,769,162,0,0,0,9,3,07-03-2026
828,Clopidogrel,UV Spec,HPLC-1,296.5,307.3,623,72,313,100,1,0,0,9,2,03-03-2026
829,Atorvastatin,UV Spec,HPLC-3,296.5,307.3,1546,458,755,141,0,0,0,3,3,16-01-2026
830,Diazepam,Relative Substance,UV Spec-7,296.5,307.3,1963,450,848,104,1,0,0,0,4,23-02-2026
831,Diclofenac,Assay,Disso-2,296.6,307.4,1611,399,345,109,0,0,0,8,3,08-02-2026
832,Clopidogrel,Assay,IR-3,296.6,307.4,1137,417,391,11,0,0,0,10,5,19-01-2026
833,Diclofenac,Assay,IR-3,296.6,307.4,515,117,354,129,0,1,0,5,5,16-01-2026
834,Diclofenac,Assay,UV Spec-3,296.6,307.4,1588,185,327,121,1,0,0,1,0,20-02-2026
835,Atorvastatin,Dissolution,HPLC-2,296.6,307.4,492,124,388,133,0,0,0,6,0,26-02-2026
836,Diazepam,Relative Substance,HPLC-5,296.7,307.4,1479,218,117,126,0,1,0,9,4,13-01-2026
837,Clopidogrel,UV Spec,HPLC-2,296.6,307.4,1574,108,74,167,0,0,0,6,4,03-01-2026
838,Atorvastatin,Dissolution,UV Spec-7,296.6,307.4,634,254,749,13,0,0,0,9,5,03-03-2026
839,Ibuprofen,Dissolution,UV Spec-6,296.6,307.4,1799,253,240,161,1,0,0,4,1,26-12-2025
840,Diazepam,Assay,Disso-3,296.5,307.4,499,329,57,47,0,0,0,9,2,10-03-2026
841,Clopidogrel,Dissolution,UV Spec-6,296.6,307.5,1692,482,437,33,0,0,0,6,3,09-02-2026
842,Diclofenac,Relative Substance,IR-3,296.6,307.5,808,245,25,164,0,0,0,9,4,29-12-2025
843,Clopidogrel,UV Spec,IR-1,296.6,307.5,764,492,381,23,0,0,0,6,0,29-12-2025
844,Atorvastatin,Dissolution,UV Spec-5,296.6,307.5,626,346,567,20,0,0,0,2,2,18-02-2026
845,Diazepam,Relative Substance,UV Spec-5,296.5,307.5,700,77,701,32,0,1,0,2,5,03-01-2026
846,Diclofenac,Dissolution,UV Spec-5,296.3,307.3,893,221,689,68,1,1,0,2,5,10-01-2026
847,Clopidogrel,UV Spec,Disso-1,296.4,307.4,1310,32,121,116,0,0,0,4,4,04-02-2026
848,Diazepam,Relative Substance,UV Spec-9,296.4,307.4,1593,382,592,117,0,0,0,9,4,30-12-2025
849,Diclofenac,Dissolution,Disso-5,296.3,307.4,150,174,173,32,1,0,0,9,3,20-01-2026
850,Atorvastatin,Assay,IR-2,296.4,307.4,1223,418,19,147,0,0,0,3,2,30-01-2026
851,Clopidogrel,Assay,HPLC-2,296.3,307.3,219,472,641,47,1,0,0,3,2,02-01-2026
852,Clopidogrel,Dissolution,HPLC-4,296.2,307.2,1965,108,174,7,1,0,0,1,3,26-01-2026
853,Diclofenac,UV Spec,HPLC-5,296.3,307.3,525,346,298,180,0,0,0,10,4,27-01-2026
854,Atorvastatin,Dissolution,HPLC-7,296.3,307.3,999,386,355,149,1,0,0,8,1,16-02-2026
855,Clopidogrel,Assay,IR-2,296.3,307.3,996,156,103,51,0,0,0,0,0,14-03-2026
856,Diazepam,Dissolution,IR-1,296.1,307.2,1146,289,348,50,0,0,0,2,0,27-02-2026
857,Clopidogrel,Assay,IR-3,296.1,307.1,769,358,776,27,0,0,0,8,1,26-02-2026
858,Diazepam,UV Spec,HPLC-5,296.1,307.1,1197,20,769,34,0,0,0,0,1,19-03-2026
859,Ibuprofen,Assay,HPLC-5,296.2,307,373,77,203,38,0,0,0,6,0,23-12-2025
860,Clopidogrel,Assay,Disso-5,296.2,307,956,119,540,128,0,0,0,6,0,20-02-2026
861,Clopidogrel,Dissolution,IR-1,296.1,306.9,1427,192,442,170,1,0,0,3,1,17-02-2026
862,Clopidogrel,UV Spec,HPLC-6,296.1,306.9,1059,97,348,63,0,0,0,9,2,17-02-2026
863,Clopidogrel,Assay,UV Spec-7,296.1,306.8,525,347,827,136,0,0,0,3,3,06-02-2026
864,Clopidogrel,UV Spec,IR-2,296,306.7,1020,35,711,78,0,0,0,2,0,18-02-2026
865,Ibuprofen,UV Spec,Disso-2,296,306.7,1532,125,151,174,1,0,0,1,2,13-02-2026
866,Diazepam,UV Spec,HPLC-3,295.9,306.6,1126,167,557,115,0,0,0,2,2,05-01-2026
867,Ibuprofen,UV Spec,IR-3,295.9,306.6,896,303,209,86,1,1,0,10,4,22-01-2026
868,Clopidogrel,Dissolution,IR-1,295.9,306.5,861,215,60,20,0,0,0,6,0,20-03-2026
869,Ibuprofen,Dissolution,Disso-3,295.8,306.5,1380,71,415,128,1,0,0,6,2,07-01-2026
870,Atorvastatin,UV Spec,Disso-6,295.8,306.5,1381,248,114,17,0,0,0,1,5,07-01-2026
871,Clopidogrel,Dissolution,HPLC-7,295.8,306.4,147,450,748,90,0,0,0,9,3,16-01-2026
872,Diclofenac,Relative Substance,Disso-5,295.8,306.4,1420,493,443,149,0,0,0,7,4,21-03-2026
873,Clopidogrel,Dissolution,Disso-6,295.8,306.4,939,10,331,113,0,0,0,9,4,04-02-2026
874,Diclofenac,UV Spec,UV Spec-11,295.9,306.4,1255,313,290,15,1,0,0,9,3,31-12-2025
875,Atorvastatin,Relative Substance,IR-2,295.9,306.4,1500,466,427,60,0,0,0,0,3,03-01-2026
876,Clopidogrel,Assay,UV Spec-2,295.8,306.3,52,458,827,167,0,0,1,2,2,13-02-2026
877,Diclofenac,UV Spec,Disso-5,295.7,306.3,283,466,662,173,0,1,0,2,5,19-03-2026
878,Diclofenac,Dissolution,IR-3,295.6,306.2,744,219,743,32,0,0,0,10,1,31-01-2026
879,Diclofenac,Dissolution,Disso-1,295.7,306.3,486,479,25,167,0,0,0,6,4,21-02-2026
880,Atorvastatin,Relative Substance,IR-3,295.8,306.3,287,226,240,72,0,0,0,10,0,14-01-2026
881,Diclofenac,Dissolution,UV Spec-1,295.8,306.3,871,38,738,153,1,0,0,1,3,29-01-2026
882,Diclofenac,Assay,HPLC-4,295.7,306.2,1330,432,385,145,0,0,0,9,0,21-02-2026
883,Diclofenac,Assay,Disso-3,295.7,306.2,1542,349,127,131,0,0,0,1,3,23-02-2026
884,Atorvastatin,Dissolution,HPLC-7,295.7,306.3,289,219,14,91,0,1,0,10,0,14-02-2026
885,Clopidogrel,Assay,Disso-7,295.8,306.4,1599,300,304,120,0,0,0,5,4,30-12-2025
886,Diclofenac,Dissolution,HPLC-3,295.7,306.2,170,288,55,96,0,0,0,0,2,07-01-2026
887,Ibuprofen,Dissolution,UV Spec-11,295.7,306.2,803,441,444,74,0,0,0,4,1,25-01-2026
888,Atorvastatin,Relative Substance,Disso-3,295.7,306.2,496,147,805,63,0,0,0,7,5,02-02-2026
889,Diazepam,Relative Substance,HPLC-2,295.6,306.1,1053,104,51,51,0,0,0,3,0,11-02-2026
890,Atorvastatin,Relative Substance,IR-2,295.6,306.1,602,33,555,147,0,1,0,5,2,09-01-2026
891,Diazepam,Dissolution,Disso-5,295.6,306,1196,312,420,5,0,0,0,0,4,11-02-2026
892,Diazepam,Relative Substance,Disso-2,295.7,306.1,1533,39,445,136,0,0,0,0,4,15-02-2026
893,Ibuprofen,Relative Substance,IR-1,295.7,306.1,282,274,171,111,0,0,1,9,5,09-03-2026
894,Atorvastatin,Dissolution,IR-2,295.7,306.2,330,128,56,136,0,0,0,5,1,26-12-2025
895,Atorvastatin,Dissolution,UV Spec-6,295.6,306.2,1435,356,58,109,0,0,0,8,5,27-02-2026
896,Ibuprofen,Relative Substance,Disso-5,295.6,306.2,745,351,253,115,0,0,0,7,1,07-03-2026
897,Diazepam,Dissolution,Disso-1,295.5,306.1,1999,491,287,129,0,0,1,4,5,28-02-2026
898,Clopidogrel,Relative Substance,IR-3,295.6,306.2,1937,197,836,26,0,0,0,2,0,28-02-2026
899,Diclofenac,Relative Substance,Disso-6,295.6,306.2,1306,71,705,64,0,0,0,9,2,15-03-2026
900,Clopidogrel,UV Spec,HPLC-6,295.6,306.2,1034,241,510,17,0,0,0,3,4,10-01-2026
901,Diclofenac,Assay,IR-2,295.6,306.2,1376,45,595,111,0,0,0,5,2,16-02-2026
902,Diclofenac,Relative Substance,UV Spec-4,295.6,306.1,622,249,562,16,0,1,0,7,4,06-02-2026
903,Diclofenac,Assay,Disso-5,295.6,306.1,1832,480,18,101,1,0,0,0,1,01-01-2026
904,Diclofenac,UV Spec,Disso-5,295.7,306.2,135,448,409,158,0,0,0,1,2,20-03-2026
905,Atorvastatin,Relative Substance,HPLC-6,295.7,306.2,666,440,204,109,1,0,0,5,3,24-12-2025
906,Atorvastatin,Assay,HPLC-1,295.6,306.1,1151,180,36,14,0,0,0,5,1,19-03-2026
907,Diclofenac,Dissolution,UV Spec-3,295.6,306.1,951,361,734,166,0,0,0,9,1,02-03-2026
908,Clopidogrel,UV Spec,HPLC-1,295.6,306.1,1772,283,797,9,0,0,0,5,2,02-03-2026
909,Diclofenac,Dissolution,HPLC-5,295.5,306.1,1167,135,379,77,1,0,0,6,3,20-01-2026
910,Clopidogrel,Dissolution,UV Spec-1,295.5,306,1909,484,148,114,0,0,0,10,1,04-01-2026
911,Diazepam,Dissolution,HPLC-2,295.5,306,1659,311,558,108,0,0,0,1,2,18-02-2026
912,Atorvastatin,Relative Substance,UV Spec-5,295.6,306.1,1621,369,607,50,0,0,0,5,2,21-12-2025
913,Clopidogrel,Relative Substance,HPLC-7,295.6,306,756,236,260,89,0,0,0,10,4,16-01-2026
914,Diclofenac,Assay,HPLC-5,295.5,306,1194,299,807,102,0,0,0,8,2,18-01-2026
915,Ibuprofen,Relative Substance,HPLC-6,295.4,305.9,315,263,121,103,0,0,0,8,1,22-01-2026
916,Ibuprofen,Dissolution,IR-3,295.4,305.8,457,365,377,14,0,0,0,1,5,01-02-2026
917,Clopidogrel,Dissolution,Disso-3,295.3,305.8,1982,223,254,150,0,0,0,1,1,07-01-2026
918,Clopidogrel,Assay,UV Spec-5,295.3,305.7,172,268,798,123,0,0,0,1,2,31-12-2025
919,Clopidogrel,Relative Substance,UV Spec-6,295.3,305.7,1268,82,220,61,0,1,1,1,4,21-01-2026
920,Atorvastatin,Dissolution,HPLC-7,295.4,305.8,1429,188,631,152,0,0,0,2,5,23-12-2025
921,Diclofenac,Relative Substance,UV Spec-11,295.5,305.9,1076,239,848,144,0,0,0,1,3,05-01-2026
922,Diazepam,Assay,HPLC-7,295.5,305.9,1087,136,467,55,1,0,0,7,2,19-02-2026
923,Clopidogrel,Relative Substance,IR-3,295.5,305.9,130,389,629,160,0,0,0,7,3,11-02-2026
924,Ibuprofen,Dissolution,HPLC-3,295.5,306,694,23,500,54,0,0,0,3,3,22-12-2025
925,Ibuprofen,Dissolution,UV Spec-8,295.5,306,255,407,783,149,0,0,0,1,1,10-03-2026
926,Diazepam,UV Spec,Disso-1,295.6,306.1,1572,182,245,177,0,0,0,9,5,02-02-2026
927,Atorvastatin,Dissolution,Disso-2,295.6,306.1,1242,392,87,175,0,0,0,6,5,11-01-2026
928,Clopidogrel,Relative Substance,UV Spec-3,295.6,306,199,342,855,126,0,0,0,5,5,03-03-2026
929,Ibuprofen,Dissolution,UV Spec-6,295.6,306,71,217,849,129,0,0,0,1,1,21-12-2025
930,Diazepam,Assay,IR-2,295.6,306,542,238,227,38,0,0,0,10,0,12-02-2026
931,Clopidogrel,Assay,Disso-5,295.5,305.9,348,350,697,23,0,0,0,6,2,06-01-2026
932,Atorvastatin,UV Spec,UV Spec-7,295.5,305.9,1604,326,152,77,0,0,0,9,5,26-01-2026
933,Atorvastatin,Relative Substance,Disso-4,295.6,306,893,176,167,20,0,0,0,0,3,25-01-2026
934,Ibuprofen,Dissolution,Disso-4,295.5,306,1483,185,676,107,0,0,0,8,4,27-01-2026
935,Atorvastatin,Assay,IR-1,295.5,306,490,432,667,50,0,0,0,7,3,26-02-2026
936,Diclofenac,Relative Substance,IR-3,295.5,306,792,412,47,54,0,0,0,6,1,12-03-2026
937,Diazepam,Relative Substance,Disso-3,295.6,306.1,1559,301,175,116,1,1,0,6,2,15-03-2026
938,Ibuprofen,Dissolution,Disso-2,295.6,306.2,1722,165,364,78,0,0,0,0,1,27-02-2026
939,Diclofenac,Dissolution,Disso-1,295.6,306.2,508,381,68,109,1,0,0,9,5,25-01-2026
940,Ibuprofen,Relative Substance,HPLC-7,295.5,306.1,911,351,655,110,0,0,0,8,1,08-03-2026
941,Clopidogrel,Relative Substance,Disso-2,295.6,306.2,930,142,348,107,1,0,0,10,2,05-02-2026
942,Atorvastatin,Relative Substance,HPLC-5,295.6,306.2,1019,241,891,20,0,0,0,10,3,23-01-2026
943,Clopidogrel,UV Spec,Disso-7,295.7,306.3,519,496,446,156,0,0,0,7,2,06-03-2026
944,Atorvastatin,UV Spec,IR-1,295.6,306.2,1534,169,782,92,0,0,0,4,4,02-03-2026
945,Ibuprofen,Relative Substance,IR-1,295.7,306.3,1813,394,803,90,0,1,0,0,5,13-03-2026
946,Atorvastatin,Dissolution,HPLC-4,295.7,306.3,764,411,446,61,0,0,0,8,1,19-03-2026
947,Diazepam,Assay,Disso-1,295.6,306.2,1491,60,528,87,0,0,0,3,2,02-02-2026
948,Clopidogrel,Dissolution,UV Spec-11,295.6,306.2,1952,47,853,135,0,0,0,9,1,06-02-2026
949,Ibuprofen,Dissolution,IR-3,295.6,306.3,746,209,520,123,0,0,0,3,3,09-02-2026
950,Clopidogrel,Relative Substance,IR-2,295.6,306.3,709,416,197,126,0,0,0,0,3,03-03-2026
951,Ibuprofen,Dissolution,UV Spec-8,295.6,306.2,1043,328,402,33,0,0,1,1,1,26-02-2026
952,Clopidogrel,Dissolution,HPLC-5,295.6,306.3,1962,167,384,100,1,0,0,4,3,21-02-2026
953,Clopidogrel,Relative Substance,IR-1,295.5,306.2,1297,331,220,149,1,0,0,3,2,06-03-2026
954,Ibuprofen,Dissolution,UV Spec-5,295.5,306.1,1098,328,610,145,0,1,0,5,3,26-01-2026
955,Diclofenac,Relative Substance,UV Spec-11,295.6,306.2,220,107,620,162,0,0,1,10,3,21-03-2026
956,Ibuprofen,Relative Substance,HPLC-5,295.6,306.3,452,428,785,78,0,0,0,8,1,05-02-2026
957,Ibuprofen,Dissolution,Disso-6,295.6,306.2,440,98,806,156,0,0,0,1,0,14-02-2026
958,Diazepam,Assay,HPLC-6,295.7,306.4,423,88,832,107,0,0,0,6,4,24-12-2025
959,Ibuprofen,Dissolution,IR-1,295.8,306.4,662,275,495,62,1,0,0,7,5,04-02-2026
960,Atorvastatin,Relative Substance,UV Spec-6,295.8,306.5,961,198,23,48,0,0,0,5,1,12-03-2026
961,Ibuprofen,Assay,IR-1,295.8,306.5,627,39,224,64,0,0,0,5,4,03-01-2026
962,Clopidogrel,Assay,HPLC-3,295.8,306.5,802,22,846,43,1,0,0,6,3,21-12-2025
963,Diazepam,Assay,UV Spec-9,295.8,306.6,1617,311,545,99,0,1,0,10,1,01-02-2026
964,Ibuprofen,Relative Substance,UV Spec-7,295.8,306.6,833,95,548,63,0,0,1,10,1,09-03-2026
965,Clopidogrel,Dissolution,UV Spec-2,295.7,306.5,361,288,505,90,0,0,0,9,5,19-02-2026
966,Diclofenac,Dissolution,Disso-2,295.8,306.6,324,357,46,36,0,0,0,4,0,30-01-2026
967,Clopidogrel,Assay,Disso-1,295.8,306.5,1670,329,423,37,1,0,0,10,2,19-03-2026
968,Diazepam,UV Spec,IR-2,295.9,306.6,933,31,490,42,0,0,0,2,0,02-02-2026
